question,summary_answer,difficulty,intent,filename
evaluate without ground truth in RAG,"Methods to assess RAG response quality without reference answers using LLM judges are discussed, including the Faithfulness metric.",advanced,code,examples/LLM_rag_evals.mdx
Evidently library descriptors and evaluators,The article lists and describes various descriptors and evaluators available in the Evidently library for RAG evaluations.,intermediate,text,examples/LLM_rag_evals.mdx
regression testing for LLM outputs,The article explains how to run regression tests on outputs from LLMs to compare new and old responses after changing parameters.,beginner,text,examples/LLM_regression_testing.mdx
how to create a toy dataset for testing LLMs,It guides on building a small Q&A dataset with reference answers to use for evaluating LLM performance.,beginner,code,examples/LLM_regression_testing.mdx
Evidently Cloud setup for LLM testing,Instructions are provided for setting up Evidently Cloud and running evaluations using Python and API keys.,beginner,code,examples/LLM_regression_testing.mdx
comparison of old and new LLM responses,The article illustrates processes for comparing LLM outputs before and after changes to assess for significant variations.,intermediate,text,examples/LLM_regression_testing.mdx
installing Evidently for LLM,It includes commands for installing the Evidently package necessary for running LLM evaluations in Python.,beginner,code,examples/LLM_regression_testing.mdx
create LLM evaluation reports,Instructions are provided on how to create and run reports that evaluate LLM outputs against defined metrics like correctness and style.,intermediate,code,examples/LLM_regression_testing.mdx
using OpenAI API for LLM evaluations,The tutorial details how to connect and utilize the OpenAI API for evaluating output correctness in LLM regression tests.,intermediate,code,examples/LLM_regression_testing.mdx
Writing custom LLM judges for regression testing,The article explains how to implement custom evaluators to check for correctness and style consistency in outputs from LLMs.,advanced,code,examples/LLM_regression_testing.mdx
analyzing length of LLM responses,It discusses how to set up evaluations to check if generated LLM responses meet specific length criteria.,beginner,code,examples/LLM_regression_testing.mdx
designing test suites for LLM outputs,The document elaborates on how to build test suites that help evaluate various aspects of LLM outputs like correctness and style.,intermediate,text,examples/LLM_regression_testing.mdx
monitoring LLM testing results over time,"There is guidance on creating dashboards to track results of tests, providing insights on LLM output performance over time.",intermediate,code,examples/LLM_regression_testing.mdx
data preparation for LLM regression testing,The tutorial involves creating datasets and understanding their structures to prepare for regression testing of LLM outputs.,intermediate,code,examples/LLM_regression_testing.mdx
LLM testing with Python examples,The article provides Python code examples for performing regression testing on LLM-generated outputs using Evidently framework.,beginner,code,examples/LLM_regression_testing.mdx
reporting errors in LLM outputs,It explains the process for generating reports that highlight errors in LLM outputs based on predefined metrics and conditions.,advanced,code,examples/LLM_regression_testing.mdx
setting up monitoring dashboards for LLM tests,Instructions are shared on how to set up a dashboard to visualize results from multiple LLM test runs and monitor their success rate.,intermediate,code,examples/LLM_regression_testing.mdx
detecting style mismatches in LLM responses,The article covers how to implement evaluations to check if the style of LLM outputs matches reference outputs or diverges significantly.,advanced,code,examples/LLM_regression_testing.mdx
best practices for LLM regression testing,"The document offers insights and suggestions for effectively implementing regression testing for LLM outputs, ensuring reliable performance changes.",intermediate,text,examples/LLM_regression_testing.mdx
LLM output correctness evaluation techniques,It explains various methods for evaluating the correctness of outputs generated by LLMs to ensure they are factually accurate.,advanced,text,examples/LLM_regression_testing.mdx
how to simulate LLM output generation,The tutorial describes methods for simulating the process of generating outputs with LLMs to facilitate regression testing.,intermediate,code,examples/LLM_regression_testing.mdx
overview of LLM regression testing process,"The article breaks down the overall regression testing process for LLM outputs, highlighting critical steps involved in testing.",beginner,text,examples/LLM_regression_testing.mdx
LLM evaluation tutorial examples,"The article provides end-to-end examples of evaluating LLMs, including different evaluation methods and specific workflows.",beginner,code,examples/introduction.mdx
how to use LLMs as judges,The document includes a tutorial on creating and tuning LLM judges that align with human evaluations.,intermediate,code,examples/introduction.mdx
basic ML quickstart,A quickstart guide for testing tabular data quality and data drift in machine learning is detailed in the article.,beginner,code,examples/introduction.mdx
Grafana LLM evaluation setup,"Instructions for visualizing LLM evaluation metrics with Grafana, including database integration, are provided in the article.",intermediate,code,examples/introduction.mdx
endpoint for GitHub actions,The article details how to integrate Evidently evaluations as part of a CI/CD workflow with native GitHub actions.,advanced,code,examples/introduction.mdx
start with LLM quickstart guide,New users can begin with the LLM quickstart section to learn how to evaluate the quality of text outputs.,beginner,text,examples/introduction.mdx
what is RAG evaluation,"A walkthrough of RAG evaluation metrics and methods is explained, providing insights into textual retrieval and generation quality.",intermediate,text,examples/introduction.mdx
descriptor cookbook tutorial,"The article features a descriptor cookbook that outlines different descriptors in a single notebook format, providing practical examples.",beginner,code,examples/introduction.mdx
ML metrics overview,"A comprehensive overview of various data and ML metrics, including regression, classification, quality, and drift, is presented for users.",intermediate,text,examples/introduction.mdx
examples of adversarial testing,"The document describes a tutorial for scenario-based risk testing on sensitive topics using LLMs, showcasing evaluation strategies.",advanced,code,examples/introduction.mdx
LLM judge prompt optimization,The article includes tutorials focused on optimizing prompts for LLM judges to improve classification tasks and feedback utilization.,intermediate,code,examples/introduction.mdx
complete LLM evaluation course,"A free applied course is available, covering core LLM evaluation workflows with accompanying video tutorials and code examples.",beginner,text,examples/introduction.mdx
Evidently Cloud v2 features,"The article outlines significant new features in Evidently Cloud v2, including a redesigned dashboard and improved performance, emphasizing enhancements in user experience and functionality.",beginner,text,faq/cloud_v2.mdx
Evidently migration guide,"This guide outlines how to migrate from earlier versions of the Evidently library to version 0.6 and above, highlighting key changes and new features.",beginner,text,faq/migration.mdx
changes in Evidently 0.6 API,"The migration guide explains the important changes introduced in the Evidently 0.6 API, including the introduction of a new Report object.",beginner,text,faq/migration.mdx
example of using new Report in Evidently,The article provides a code example of how to use the new Report object introduced in Evidently 0.6 for generating reports with datasets.,intermediate,code,faq/migration.mdx
how to create Dataset in Evidently,"Instructions on creating a Dataset object in Evidently with the new data_definition structure are detailed, along with code samples.",beginner,code,faq/migration.mdx
breaking changes in Evidently 0.7,"The guide highlights the breaking changes introduced in Evidently 0.7, including making the new API the default, affecting how users should import packages.",intermediate,text,faq/migration.mdx
multiple targets in Evidently Reports,"The article discusses the new functionality to handle multiple targets and predictions within the same Evidently Report, allowing for more complex analyses.",advanced,code,faq/migration.mdx
update metrics in Evidently dashboard,"It covers the changes to the Dashboard API, including updates for integrating new metrics and simplifying panel creation.",advanced,code,faq/migration.mdx
Evidently open-source features,"The article outlines that all core features of the Evidently platform are available in the open-source version, making it suitable for individual data scientists.",beginner,text,faq/oss_vs_cloud.mdx
Evidently Cloud vs Enterprise deployment,"The differences between Evidently Cloud and Enterprise include support levels, maintenance responsibilities, and additional features available in the commercial edition.",beginner,text,faq/oss_vs_cloud.mdx
Evidently library installation guide,"The Evidently library can be easily installed for running data evaluations, targeting users who need implementation details.",beginner,code,faq/oss_vs_cloud.mdx
Essential features of Evidently Cloud,"Evidently Cloud offers enhanced features compared to the OSS version, such as no-code evaluations and scheduled evaluations, suitable for teams looking for robust AI monitoring solutions.",intermediate,text,faq/oss_vs_cloud.mdx
Setting up Evidently Enterprise deployment,"The article details how to deploy the Evidently Enterprise edition in private or on-premises environments, including setup and support.",intermediate,code,faq/oss_vs_cloud.mdx
Integration challenges with Evidently OSS,"For advanced users, the article discusses potential issues and troubleshooting for integrating Evidently OSS in production environments, focusing on the need for engineering resources.",advanced,text,faq/oss_vs_cloud.mdx
evidently telemetry data collection,"The article explains that Evidently collects anonymous usage data to monitor user interaction, which helps improve the tool.",beginner,text,faq/telemetry.mdx
how to opt-out of telemetry in evidently,Users can opt-out of telemetry by setting the environment variable DO_NOT_TRACK to any value after starting the service.,beginner,code,faq/telemetry.mdx
data collected by evidently telemetry,"Telemetry data collected includes environment and service usage data, like timestamps, user IDs, and actions taken within the Evidently Monitoring UI.",beginner,text,faq/telemetry.mdx
list of actions tracked in evidently telemetry,"The article lists various actions that are tracked, such as startup, project dashboard views, and report listings to understand feature usage.",intermediate,text,faq/telemetry.mdx
enable telemetry in evidently monitoring,"Telemetry is enabled by default in Evidently Monitoring UI, with an option to disable it using a specific environment variable.",beginner,code,faq/telemetry.mdx
anonymous user data in evidently,Evidently collects only anonymous data regarding users to ensure privacy while improving tool functionality based on user interaction.,beginner,text,faq/telemetry.mdx
evidently telemetry environment data,"The telemetry includes environment data such as OS name and version, Python version, and tool version, allowing insights into user setups.",intermediate,text,faq/telemetry.mdx
correctly disabling telemetry in evidently,"To disable telemetry, set the DO_NOT_TRACK environment variable, and the service will indicate that anonymous usage reporting is disabled.",intermediate,code,faq/telemetry.mdx
importance of telemetry in open-source tools,"The article highlights that keeping telemetry on helps developers understand usage patterns, prioritize features, and improve the tool based on actual usage data.",advanced,text,faq/telemetry.mdx
examples of event logs in evidently telemetry,"Event logs are presented in the article, showcasing structured data for actions like startup and project information retrieval within Evidently.",advanced,code,faq/telemetry.mdx
evidently ai platform features overview,"The article outlines the comprehensive feature set of the Evidently Platform, designed to support AI quality workflows with tools for tracing, synthetic data, and rich dashboards.",beginner,text,faq/why_evidently.mdx
how to use evidently for model evaluation,"It details how Evidently provides over 100 built-in evaluations, allowing users to run assessments without preparing metrics from scratch, making the evaluation process straightforward.",beginner,code,faq/why_evidently.mdx
evidently vs other ml tools comparison,"The article discusses how Evidently distinguishes itself by being open-source and offering built-in metrics, unlike many tools that require extensive setup for evaluations.",intermediate,text,faq/why_evidently.mdx
evidently modular architecture example,"It highlights Evidently's modular structure, allowing users to start small with local checks and gradually enhance capabilities without complex setups or lock-ins.",intermediate,code,faq/why_evidently.mdx
Evidently Python library features,Evidently is an open-source Python library that provides over 100 evaluation metrics and a testing API for evaluating AI systems.,beginner,text,introduction.mdx
how to use Evidently for ML monitoring,"The article outlines steps to use Evidently for monitoring machine learning data quality and drift, emphasizing quick setup.",beginner,code,introduction.mdx
Evidently Cloud platform capabilities,"Evidently Cloud offers a comprehensive toolkit for AI testing and observability, including tools for dataset management and collaboration.",intermediate,text,introduction.mdx
setup evaluation with Evidently,You can run your first evaluation with Evidently in just a few minutes using the provided examples.,beginner,code,introduction.mdx
best practices for using Evidently,The article includes best practices for maintaining reliable AI products through the use of Evidently's tools and features.,intermediate,text,introduction.mdx
Evidently code examples,The Evidently documentation provides an extensive cookbook with end-to-end code tutorials and examples to help users implement evaluations.,intermediate,code,introduction.mdx
integration of Evidently with AI systems,"Evidently is designed to integrate seamlessly with various AI systems, ensuring quality evaluations and monitoring.",advanced,text,introduction.mdx
Evidently metrics overview,You can browse a catalogue of 100+ evaluation metrics provided by Evidently to assess your AI systems effectively.,beginner,text,introduction.mdx
tracing in Evidently Cloud,The Cloud platform includes tracing features to help monitor AI-powered applications and ensure data integrity.,intermediate,text,introduction.mdx
Evidently no-code interface,There is a no-code interface in Evidently Cloud designed for domain experts to collaborate on testing AI quality.,intermediate,text,introduction.mdx
row-level text evaluations,"The article provides a thorough reference for row-level text evaluations, including various evaluation methods and their applications.",beginner,text,metrics/all_descriptors.mdx
exact match descriptor example,"It lists and explains the ExactMatch() function, which checks if the contents of a column match between two specified columns.",beginner,code,metrics/all_descriptors.mdx
pattern matching evaluations,"Describes multiple deterministic evaluations focused on pattern matching within text data, like ExactMatch and RegExp.",beginner,text,metrics/all_descriptors.mdx
syntax validation functions,"The article outlines several syntax validation functions such as IsValidJSON() and IsValidPython(), demonstrating how to ensure data structure integrity.",intermediate,code,metrics/all_descriptors.mdx
text length evaluation,"It describes the TextLength() function which measures the length of text in symbols, an important metric for text evaluations.",beginner,code,metrics/all_descriptors.mdx
parameters for Contains() function,"Provides detailed information on the parameters required for the Contains() function, which checks if text includes specific items.",intermediate,text,metrics/all_descriptors.mdx
JSON validation in data,"Explains the use of IsValidJSON() for validating whether text conforms to JSON format, ensuring data is correctly structured.",intermediate,code,metrics/all_descriptors.mdx
custom Python descriptor,"Describes the CustomDescriptor() function that allows users to implement their own checks in Python, providing flexibility in evaluations.",advanced,code,metrics/all_descriptors.mdx
detecting PII in text,"Lists the PIILLMEval() function which detects Personally Identifiable Information in text, useful for compliance and privacy.",intermediate,code,metrics/all_descriptors.mdx
BERTScore for text similarity,Explains how to utilize the BERTScore() function to calculate similarity between text columns based on token embeddings.,intermediate,code,metrics/all_descriptors.mdx
evaluation metrics for LLM,"Details various LLM evaluation metrics, including CompletenessLLMEval() and NegativityLLMEval(), focusing on language model output.",intermediate,text,metrics/all_descriptors.mdx
IncludesWords function parameters,"Explains the parameters of IncludesWords(), which checks if text contains specified vocabulary words, making it useful for content checks.",intermediate,code,metrics/all_descriptors.mdx
text statistics overview,The article provides an overview of text statistics methods like WordCount() and SentenceCount() for evaluating textual data.,beginner,text,metrics/all_descriptors.mdx
custom check descriptors,"Details how to create custom descriptors for evaluations, giving examples of how to implement specific checks in data.",advanced,code,metrics/all_descriptors.mdx
using RegExp for evaluations,Explains the use of RegExp() to match text against a specified regular expression for validation purposes in evaluations.,intermediate,code,metrics/all_descriptors.mdx
validating SQL syntax,"Lists the IsValidSQL() function, which validates if submitted SQL queries are syntactically correct without executing them.",intermediate,code,metrics/all_descriptors.mdx
what is ContextRelevance?,Describes the ContextRelevance() function which checks if the context is relevant to a given question using semantic similarity.,intermediate,text,metrics/all_descriptors.mdx
Detecting toxicity in text,"Details functions like ToxicityLLMEval() that assess whether the text contains toxic elements, aiding in filtering harmful content.",intermediate,code,metrics/all_descriptors.mdx
using LLM judge parameters,"Explains how to configure LLM judge parameters for custom evaluations, including aliases and models.",advanced,text,metrics/all_descriptors.mdx
out-of-vocabulary words percentage,"Discusses the OOVWordsPercentage() function, which calculates the percentage of out-of-vocabulary words in the text.",beginner,code,metrics/all_descriptors.mdx
text evaluation functions list,"The article provides a complete list of functions available for text evaluations, detailing their roles and use cases.",beginner,text,metrics/all_descriptors.mdx
NegativityLLMEval example,"It gives an example of using NegativityLLMEval() which evaluates the negativity of text, providing essential feedback on language sentiment.",intermediate,code,metrics/all_descriptors.mdx
how to implement SemanticSimilarity,Describes how to use the SemanticSimilarity() function to calculate pairwise similarity scores between text columns.,advanced,code,metrics/all_descriptors.mdx
what is sentence count evaluation?,"The SentenceCount() function is discussed, which provides an absolute count of sentences in a given text for analysis purposes.",beginner,code,metrics/all_descriptors.mdx
detecting bias in language models,"It expands on BiasLLMEval() which identifies biased content within text, critical for ethical evaluations in language processing.",advanced,code,metrics/all_descriptors.mdx
all metrics overview,"The article provides a comprehensive reference for dataset-level evaluations, detailing various metrics, their descriptions, parameters, and test defaults.",beginner,text,metrics/all_metrics.mdx
text evaluation metrics,"It covers text evaluation metrics such as TextEvals() and ValueStats(), explaining their usage and parameters.",beginner,text,metrics/all_metrics.mdx
how to use ValueStats in metrics,ValueStats() aggregates descriptor results and provides descriptive statistics for specified columns in the dataset.,intermediate,code,metrics/all_metrics.mdx
understanding Test Defaults,"The article explains the default test conditions applied when invoking Tests with metrics, including reference-based and fixed heuristics.",beginner,text,metrics/all_metrics.mdx
ColumnCount metric,"ColumnCount() counts the number of columns in a dataset, providing important data quality information.",intermediate,code,metrics/all_metrics.mdx
dataset quality metrics,"The article provides metrics for assessing dataset quality, including counts of missing values and duplicates.",beginner,text,metrics/all_metrics.mdx
examples of data quality metrics,It includes examples such as MissingValueCount() and DuplicatedRowCount() for evaluating data quality within datasets.,intermediate,code,metrics/all_metrics.mdx
how to interpret MeanValue result,MeanValue() computes the mean value of a numerical column and returns the result for analysis of central tendency.,beginner,text,metrics/all_metrics.mdx
category metrics explanation,"It discusses CategoryCount() for counting occurrences of specific categories within columns, enhancing data analysis.",intermediate,text,metrics/all_metrics.mdx
Precision and Recall metrics,The article details Precision() and Recall() metrics used in classification tasks to measure the correctness of predictions.,intermediate,text,metrics/all_metrics.mdx
calculating PrecisionTopK,"PrecisionTopK() computes precision at the top K retrieved items, relevant for evaluating ranking performance.",advanced,code,metrics/all_metrics.mdx
Difference between Recall and Precision,"It clarifies the difference between Recall and Precision, essential metrics for evaluating classification models.",intermediate,text,metrics/all_metrics.mdx
how to apply Test conditions in metrics,The article outlines how to apply test conditions within individual metrics to validate model performance against expected results.,advanced,code,metrics/all_metrics.mdx
Metrics cookbook example,The article refers to a metrics cookbook for practical examples on how to implement various evaluation metrics in datasets.,beginner,code,metrics/all_metrics.mdx
data drift metrics,Data drift metrics are covered to aid in detecting discrepancies in data distributions over time.,intermediate,text,metrics/all_metrics.mdx
explore Classification metrics,"The content delves into various classification metrics including Accuracy(), Precision(), and F1Score() for evaluation tasks.",intermediate,code,metrics/all_metrics.mdx
Dummies model quality metrics,Dummy model quality metrics provide a baseline for assessing model performance against random guesses.,beginner,text,metrics/all_metrics.mdx
R2Score metric uses,"R2Score() is used to calculate the coefficient of determination, indicating how well data points fit a statistical model.",advanced,code,metrics/all_metrics.mdx
how to configure metrics in reporting,The article describes how to use metrics within reporting functions to evaluate dataset quality and model performance.,intermediate,code,metrics/all_metrics.mdx
comparing model quality,It gives guidance on comparing model performance metrics against a baseline or dummy model to assess improvement.,intermediate,text,metrics/all_metrics.mdx
usage of DummyMeanError,"DummyMeanError() calculates mean error for a baseline dummy model, assisting in understanding model performance.",advanced,code,metrics/all_metrics.mdx
data quality checking metrics,Several metrics are outlined for checking data quality through dataset evaluations such as ColumnCount() and EmptyRowsCount().,beginner,text,metrics/all_metrics.mdx
explain DatasetStats(),DatasetStats() gathers essential dataset-level statistics like missing values and column types for quick evaluations.,beginner,text,metrics/all_metrics.mdx
column-level metrics,"Column-level metrics measure specific attributes of dataset columns, such as UniqueValueCount() and MaxValue().",intermediate,text,metrics/all_metrics.mdx
how to find outliers in data,"Using OutRangeValueCount(), you can identify outliers in dataset columns based on set ranges.",advanced,code,metrics/all_metrics.mdx
comparing model accuracy against dummy,Model accuracy is compared to a dummy model to ensure that the predictive system performs better than random chance.,intermediate,text,metrics/all_metrics.mdx
how to implement R2 in regression,"R2Score() implementation in regression metrics assesses model fit, crucial for regression analysis.",advanced,code,metrics/all_metrics.mdx
understanding data calibration metrics,It discusses the importance of data calibration metrics in ensuring data quality over time and across distributions.,intermediate,text,metrics/all_metrics.mdx
best practices for dataset evaluations,"Best practices for conducting dataset evaluations, such as applying appropriate metrics and test conditions effectively, are addressed.",beginner,text,metrics/all_metrics.mdx
Role of Test Defaults in metrics,"Test defaults provide baseline conditions for evaluating metrics, critical to understanding expected model performance.",beginner,text,metrics/all_metrics.mdx
RegressionDummyQuality example,The article provides an example of how to use RegressionDummyQuality to evaluate regression models against dummy predictions.,intermediate,code,metrics/all_metrics.mdx
error measurement metrics,Various error measurement metrics like MAE and RMSE help assess the accuracy of regression models.,intermediate,text,metrics/all_metrics.mdx
metrics for directory structure,It explains the importance of maintaining a coherent structure for metrics to ensure easy accessibility and clarity in evaluations.,beginner,text,metrics/all_metrics.mdx
when to use dataset quality metrics,Dataset quality metrics should be used during preprocessing stages to identify data issues before model training.,beginner,text,metrics/all_metrics.mdx
detection of data drift,"Techniques for detecting data drift are summarized, including the metrics and methods applicable to analyze drift effectively.",intermediate,text,metrics/all_metrics.mdx
charts and visualizations in metrics,The article emphasizes the need for charts and visualizations in metric reporting to better interpret results.,beginner,text,metrics/all_metrics.mdx
example of PrecisionByLabel,PrecisionByLabel() allows evaluation of precision metrics for each class in a multiclass classification problem.,advanced,code,metrics/all_metrics.mdx
how to apply R2 metrics,"R2 metrics are applicable in evaluating regression accuracy, providing insights into model outcomes and performance expectations.",advanced,code,metrics/all_metrics.mdx
available presets for dataset evaluation,"The article lists various pre-built Presets that simplify dataset evaluations, making it easier for users to start without extensive setup.",beginner,text,metrics/all_presets.mdx
how to use text evaluation presets,"It provides guidance on using presets focused on text evaluations and LLM assessments, ideal for those looking to implement predefined metrics quickly.",intermediate,code,metrics/all_presets.mdx
data drift detection preset,"The article details a specific preset for detecting data distribution drift, useful for ensuring the quality and relevance of datasets over time.",beginner,text,metrics/all_presets.mdx
classification preset implementation example,"It includes examples of how to apply the classification presets for evaluating quality in classification tasks, catering to users looking for practical implementation.",advanced,code,metrics/all_presets.mdx
customize data drift detection methods,The article details how to change data drift detection methods and conditions based on column types and dataset characteristics.,beginner,text,metrics/customize_data_drift.mdx
override default data drift algorithm,You can override the default data drift algorithm by passing custom parameters to the chosen Metric or Preset.,beginner,code,metrics/customize_data_drift.mdx
data drift detection thresholds,The article describes how to set thresholds for each drift detection method to customize the drift evaluation process.,intermediate,code,metrics/customize_data_drift.mdx
create custom data drift method,Instructions on how to implement your own custom drift detection method using the StatTest class are provided in the article.,advanced,code,metrics/customize_data_drift.mdx
percentage of drifting columns for dataset drift,You can specify the share of drifting columns that indicates dataset drift using the `drift_share` parameter in the metrics or presets.,intermediate,code,metrics/customize_data_drift.mdx
available methods for data drift,"The article lists over twenty methods available for detecting data drift, including PSI and K-S tests, along with their applicable conditions.",beginner,text,metrics/customize_data_drift.mdx
set thresholds for categorical columns in data drift,You can set thresholds for categorical columns by using parameters like `cat_threshold` when creating a DataDriftPreset.,intermediate,code,metrics/customize_data_drift.mdx
data drift preset example,An example is provided showing how to set up a DataDriftPreset with specific drift share and method parameters.,beginner,code,metrics/customize_data_drift.mdx
difference between drift methods,"The article explains the difference between various drift detection methods, including their conditions and thresholds for detecting drift.",intermediate,text,metrics/customize_data_drift.mdx
python example for customizing data drift,The article includes a Python code snippet that demonstrates how to customize data drift detection with specific functions and parameters.,advanced,code,metrics/customize_data_drift.mdx
apply data drift methods per column,You can apply specific drift methods directly to individual columns using the `per_column_method` parameter in your reports.,intermediate,code,metrics/customize_data_drift.mdx
how to use ValueDrift and DriftedColumnsCount,The article explains how to use ValueDrift and DriftedColumnsCount metrics in your reports for data drift detection.,beginner,code,metrics/customize_data_drift.mdx
implementing custom statistical tests for drift,Instructions are provided on implementing a custom statistical test using the StatTest class and how to register it for drift detection.,advanced,code,metrics/customize_data_drift.mdx
how to map column types for data definition,The article mentions that understanding data definitions and mapping column types is essential for customizing data drift detection effectively.,beginner,text,metrics/customize_data_drift.mdx
detecting text data drift,"The article provides methods specifically for detecting drift in text data, including various statistical techniques appropriate for text analysis.",intermediate,text,metrics/customize_data_drift.mdx
drift detection metrics overview,"A summary of different drift detection metrics and their applications is included, such as K-S test and chi-square test for various data types.",beginner,text,metrics/customize_data_drift.mdx
create custom text evaluator in Evidently,"The article provides a guide on implementing custom row-level text evaluators in Evidently, including code examples for defining custom descriptors.",beginner,code,metrics/customize_descriptor.mdx
Evidently custom column descriptor example,"You can find a detailed example of how to define a `CustomColumnDescriptor` to evaluate dataset columns based on specific criteria, illustrated with Python code.",intermediate,code,metrics/customize_descriptor.mdx
what is a CustomDescriptor in Evidently,"The article explains the concept of `CustomDescriptor` in Evidently, highlighting its use for evaluating multiple dataset columns and returning transformed results.",advanced,text,metrics/customize_descriptor.mdx
HuggingFace models usage examples,"The article explains how to download and use HuggingFace models for text evaluation, offering ready-to-use descriptors and a general interface for custom models.",beginner,code,metrics/customize_hf_descriptor.mdx
How to score text with HuggingFace,"It outlines the procedure for scoring text using HuggingFace models, including sample data creation and usage of different descriptors.",beginner,code,metrics/customize_hf_descriptor.mdx
Implementing custom evaluators with HuggingFace,"The article discusses how to define custom evaluators using the HuggingFace descriptor, providing examples for various emotion classifications.",intermediate,code,metrics/customize_hf_descriptor.mdx
Available descriptors in HuggingFace,"The content lists available built-in descriptors for HuggingFace models, helping users choose appropriate evaluators for their text data.",beginner,text,metrics/customize_hf_descriptor.mdx
Understanding HuggingFace toxicity model,"It details the specific use of the HuggingFaceToxicity model for evaluating toxicity levels in text, including required parameters and implementation examples.",intermediate,code,metrics/customize_hf_descriptor.mdx
Using HuggingFace for emotion classification,"The article provides an example of using HuggingFace for emotion classification, with details on the required parameters and expected results.",beginner,code,metrics/customize_hf_descriptor.mdx
Code for zero-shot classification with HuggingFace,"It explains how to implement zero-shot classification using HuggingFace, providing a code example for clarity.",intermediate,code,metrics/customize_hf_descriptor.mdx
Sample data for HuggingFace evaluation,"The article includes a section on generating toy data for testing HuggingFace models, helping beginners understand how to prepare data for evaluation.",beginner,code,metrics/customize_hf_descriptor.mdx
HuggingFace text detection capabilities,"It describes how to use HuggingFace for text detection, particularly focusing on detecting GPT-2 generated text and relevant parameters.",advanced,code,metrics/customize_hf_descriptor.mdx
Evaluating text data with HuggingFace models,"The article provides a conceptual overview of using HuggingFace models to evaluate various aspects of text data, suitable for users new to the topic.",beginner,text,metrics/customize_hf_descriptor.mdx
using LLM judges in Evidently,"The article provides guidance on how to configure LLM judges in Evidently, including using built-in evaluators and custom templates for evaluation criteria.",beginner,text,metrics/customize_llm_judge.mdx
installing Evidently for LLM evaluation,The article assumes the user has pre-requisites for using Evidently descriptors but does not cover installation. It's recommended to check the official documentation for setup instructions.,beginner,text,metrics/customize_llm_judge.mdx
custom criteria LLM evaluation example,"The article describes how to create custom LLM evaluators using binary and multi-class classification templates, including specific code examples.",intermediate,code,metrics/customize_llm_judge.mdx
LLM based descriptors in Python,The article shows how to import and utilize LLM-based descriptors in Python for evaluating text data with examples included.,beginner,code,metrics/customize_llm_judge.mdx
set up OpenAI API key for LLM,"Users can set up their OpenAI API key as an environment variable, as explained in the article, which is required for LLM evaluation.",beginner,code,metrics/customize_llm_judge.mdx
using built-in LLM evaluators,"The article outlines the available built-in evaluators in Evidently, which can be used to assess criteria like toxicity and contextual quality.",intermediate,text,metrics/customize_llm_judge.mdx
Evidently multiple column evaluation,The article provides examples of how to run evaluations that require multiple columns for accurate assessment in Evidently.,intermediate,code,metrics/customize_llm_judge.mdx
change LLM model in Evidently,"The article includes information on how to switch the default LLM model to another option, such as using different API providers or models.",advanced,text,metrics/customize_llm_judge.mdx
Evidently ToxicityLLMEval usage,The article shares an example of how to use the ToxicityLLMEval descriptor to evaluate text for toxicity in a single-column input.,beginner,code,metrics/customize_llm_judge.mdx
evaluate response fidelity LLM,It explains how to evaluate the fidelity of responses against the context using a custom binary classification template with provided code examples.,advanced,code,metrics/customize_llm_judge.mdx
parameters for LLMEval in Evidently,"The article details various parameters available for LLMEval, helping users customize their evaluation setup in Evidently.",intermediate,text,metrics/customize_llm_judge.mdx
using custom templates with LLM,The article explains how to create and apply custom prompt templates to evaluate specific criteria for text data using LLM.,intermediate,code,metrics/customize_llm_judge.mdx
Evidently Dataset from Pandas,"To generate a Dataset object from a Pandas DataFrame, users can follow the example provided in the article that outlines the integration with Evidently.",beginner,code,metrics/customize_llm_judge.mdx
importance of column names in LLM evaluation,The article emphasizes how defining aliases for column names impacts the results returned by the LLM evaluations in Evidently.,intermediate,text,metrics/customize_llm_judge.mdx
audio quality analysis with LLM,"While the article does not directly cover audio quality, it discusses evaluating context quality and responses which could apply to audio features in a theoretical setup.",advanced,text,metrics/customize_llm_judge.mdx
how to define evaluation criteria in LLM,"It provides a guide on setting evaluation criteria using binary and multiclass classification templates, including detailed coding examples.",intermediate,code,metrics/customize_llm_judge.mdx
environment setup for Evidently LLM,A brief overview is given on setting up the environment variables required for API access when configuring LLM judges in Evidently.,beginner,text,metrics/customize_llm_judge.mdx
LLM Hallucination detection,The article includes an example of how to set up a binary classification template to detect hallucinated responses from an LLM based on the context provided.,advanced,code,metrics/customize_llm_judge.mdx
Evidently's supported LLM providers,The article discusses various LLM providers supported in Evidently and how to select and switch between them.,advanced,text,metrics/customize_llm_judge.mdx
evaluating context in LLM applications,"It discusses how to assess context quality in text outputs, providing examples of how to implement these evaluations in code.",intermediate,code,metrics/customize_llm_judge.mdx
LLMEval integrations in Python,The article covers examples of how to integrate LLMEval descriptors within a Python workflow for evaluating text data.,intermediate,code,metrics/customize_llm_judge.mdx
API key management in Evidently,"It mentions best practices for securely managing API keys, which is crucial for safe access to LLMs.",beginner,text,metrics/customize_llm_judge.mdx
best practices for using LLMs,"The article provides insights on optimal usage of LLMs within Evidently, including correct implementations and avoiding common pitfalls.",advanced,text,metrics/customize_llm_judge.mdx
create custom metric in Evidently,"The article provides a step-by-step guide on creating custom metrics in Evidently, including required implementations and optional visualizations.",beginner,code,metrics/customize_metric.mdx
custom metric example implementation,"An example implementation of a custom metric, `MyMaxMetric`, is included, showing how to calculate the maximum value in a column using Python code.",intermediate,code,metrics/customize_metric.mdx
